,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,year,quarter,month,day,weekday,hour,minute,second,Month,Lat,Long,vx2,vy2,vz2,vel2
115,2019-12-03 06:46:27,5.6N,52.2W,61.5,,,,,42000000000.0,0.14,2019-12-03 00:00:00,2019,4,12,3,1,6,46,27,December,5.6,-52.2,,,,
116,2019-11-28 20:30:54,35.7N,31.7W,35.0,13.0,-11.6,-2.5,-5.4,27000000000.0,0.095,2019-11-28 00:00:00,2019,4,11,28,3,20,30,54,November,35.7,-31.7,134.56,6.25,29.160000000000004,169.0
117,2019-11-28 13:22:10,,,,,,,,26000000000.0,0.092,2019-11-28 00:00:00,2019,4,11,28,3,13,22,10,November,,,,,,
118,2019-11-28 11:55:02,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,25000000000.0,0.089,2019-11-28 00:00:00,2019,4,11,28,3,11,55,2,November,-22.1,25.7,519.84,30.25,57.76,610.0899999999999
119,2019-11-05 11:24:51,10.4S,143.3W,38.0,27.4,5.2,12.3,23.9,110000000000.0,0.33,2019-11-05 00:00:00,2019,4,11,5,1,11,24,51,November,-10.4,-143.3,27.040000000000003,151.29000000000002,571.2099999999999,750.7599999999999
120,2019-10-22 22:21:15,12.0N,76.0W,40.7,,,,,27000000000.0,0.095,2019-10-22 00:00:00,2019,4,10,22,1,22,21,15,October,12.0,-76.0,,,,
121,2019-10-10 16:16:36,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,206000000000.0,0.57,2019-10-10 00:00:00,2019,4,10,10,3,16,16,36,October,44.3,122.9,2.25,166.41,29.160000000000004,198.81
122,2019-09-28 10:40:20,12.5S,107.2W,52.0,20.4,-10.1,11.2,13.7,23000000000.0,0.082,2019-09-28 00:00:00,2019,3,9,28,5,10,40,20,September,-12.5,-107.2,102.00999999999999,125.43999999999998,187.68999999999997,416.15999999999997
123,2019-09-27 13:35:46,25.7N,28.4W,,,,,,34000000000.0,0.12,2019-09-27 00:00:00,2019,3,9,27,4,13,35,46,September,25.7,-28.4,,,,
124,2019-09-14 12:39:34,38.6S,33.5W,38.0,15.9,-12.9,8.1,4.6,109000000000.0,0.33,2019-09-14 00:00:00,2019,3,9,14,5,12,39,34,September,-38.6,-33.5,166.41,65.61,21.159999999999997,252.81
